"so_SHORTNAME"	"so_NAME"	"so_PID"	"so_ratioWave"	"so_allTWave"	"int"
"DDX47"	"Probable ATP-dependent RNA helicase DDX47"	"Q9H0S4"	2.34234428086017	0.010957437	"PE"
"FLOT2"	"Flotillin-2"	"Q14254"	2.3384522299191	0.025889052	"PE"
"DNM2"	"Dynamin-2"	"P50570"	2.33550079223367	0.047402576	"PE"
"SLC30A1"	"Zinc transporter 1"	"Q9Y6M5"	2.33290243114436	0.046777431	"PE"
"S100A9"	"Protein S100-A9"	"P06702"	2.32435796552442	0.038694881	"DM"
"PSMA5"	"Proteasome subunit alpha type-5"	"P28066"	2.31703619301938	0.01114425	"PE"
"EHD4"	"EH domain-containing protein 4"	"Q9H223"	2.30506564733293	0.039944764	"PE"
"CPNE8"	"Copine-8"	"Q86YQ8"	2.29612148078207	0.03695016	"PE"
"MYADM"	"Myeloid-associated differentiation marker"	"Q96S97"	2.2899510640055	0.015716966	"DM|PE"
"YARS"	"Tyrosine--tRNA ligase, cytoplasmic"	"P54577"	2.27277955007796	0.047026251	"PE"
"STIP1"	"Stress-induced-phosphoprotein 1"	"P31948"	2.25279466707899	0.017201088	"PE"
"DDX21"	"Nucleolar RNA helicase 2"	"Q9NR30"	2.25268751118923	0.032150716	"PE"
"SLC4A7"	"Sodium bicarbonate cotransporter 3"	"Q9Y6M7"	2.25111606440864	0.0010339048	"PE"
"PSMD6"	"26S proteasome non-ATPase regulatory subunit 6"	"Q15008"	2.24554881774678	0.031691436	"PE"
"QARS"	"Glutamine--tRNA ligase"	"P47897"	2.24441411459794	0.012733054	"PE"
"SUPT16H"	"FACT complex subunit SPT16"	"Q9Y5B9"	2.23975000340631	0.034038488	"PE"
"UNC13D"	"Protein unc-13 homolog D"	"Q70J99"	2.2397371821491	0.010290312	"PE"
"NOB1"	"RNA-binding protein NOB1"	"Q9ULX3"	2.23901745566882	0.018089443	"PE"
"CAV1"	"Caveolin-1"	"Q03135"	2.23861957677768	0.024992827	"PE"
"GNA13"	"Guanine nucleotide-binding protein subunit alpha-13"	"Q14344"	2.23838330908282	0.032236423	"PE"
"ITGA6"	"Integrin alpha-6"	"P23229"	2.23531179102832	0.027736656	"PE"
"DNAJB11"	"DnaJ homolog subfamily B member 11"	"Q9UBS4"	2.22106253070012	0.0079559619	"PE"
"MYO1E"	"Unconventional myosin-Ie"	"Q12965"	2.21981754343784	0.023018548	"PE|RE"
"UBA5"	"Ubiquitin-like modifier-activating enzyme 5"	"Q9GZZ9"	2.21647671885522	0.010280645	"PE"
"TCF25"	"Transcription factor 25"	"Q9BQ70"	2.21540631921529	0.021988729	"PE"
"HMX3"	"Homeobox protein HMX3"	"A6NHT5"	2.20890004194739	0.016407976	"PE"
"SCARB1"	"Scavenger receptor class B member 1"	"Q8WTV0"	2.20857044004514	0.0020927151	"PE"
"KPRP"	"Keratinocyte proline-rich protein"	"Q5T749"	2.2027502742075	0.04167584	"DM"
"RRP1"	"Ribosomal RNA processing protein 1 homolog A"	"P56182"	2.20104588821554	0.012003683	"PE"
"PCMT1"	"Protein-L-isoaspartate(D-aspartate) O-methyltransferase"	"P22061"	2.20025891168119	0.047587197	"PE"
"FYCO1"	"FYVE and coiled-coil domain-containing protein 1"	"Q9BQS8"	2.18009910282716	0.026808664	"PE"
"AQP1"	"Aquaporin-1"	"P29972"	2.17724632494474	0.039601173	"PE"
"ACTR2"	"Actin-related protein 2"	"P61160"	2.14964372879213	0.013367058	"PE"
"MAPRE1"	"Microtubule-associated protein RP/EB family member 1"	"Q15691"	2.14620035401303	0.011662995	"PE"
"PRKAR2A"	"cAMP-dependent protein kinase type II-alpha regulatory subunit"	"P13861"	2.14559954363465	0.032578912	"PE"
"EFR3A"	"Protein EFR3 homolog A"	"Q14156"	2.1383266156815	0.0025231941	"PE"
"RAB21"	"Ras-related protein Rab-21"	"Q9UL25"	2.13827619610476	0.023489034	"DM|PE"
"TMX3"	"Protein disulfide-isomerase TMX3"	"Q96JJ7"	2.13584138622541	0.015266146	"PE"
"GATAD2A"	"Transcriptional repressor p66-alpha"	"Q86YP4"	2.1351784075334	0.034175601	"PE"
"PSME3"	"Proteasome activator complex subunit 3"	"P61289"	2.13411423427723	0.010045497	"DM|PE"
"FASN"	"Fatty acid synthase"	"P49327"	2.12981591507696	0.016578915	"DM"
"SIRPA"	"Tyrosine-protein phosphatase non-receptor type substrate 1"	"P78324"	2.12805019518944	0.0067549166	"PE"
"HINT1"	"Histidine triad nucleotide-binding protein 1"	"P49773"	2.12378467736445	0.01232502	"PE"
"ST13"	"Hsc70-interacting protein"	"P50502"	2.1125697537747	0.006382525	"PE"
"RHOB"	"Rho-related GTP-binding protein RhoB"	"P62745"	2.10586282286147	0.024963981	"PE"
"UGGT1"	"UDP-glucose:glycoprotein glucosyltransferase 1"	"Q9NYU2"	2.10159026503524	0.015458467	"PE"
"GNB4"	"Guanine nucleotide-binding protein subunit beta-4"	"Q9HAV0"	2.10001920207952	0.0052149636	"PE"
"HIST1H4A"	"Histone H4"	"P62805"	2.09509283342665	0.001485268	"PE"
"UGDH"	"UDP-glucose 6-dehydrogenase"	"O60701"	2.08793693367632	0.032539766	"PE"
"ECH1"	"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial"	"Q13011"	2.08782363125951	0.040433094	"PE"
"WARS"	"Tryptophan--tRNA ligase, cytoplasmic"	"P23381"	2.0856880468772	0.04203004	"PE"
"LEPRE1"	"Prolyl 3-hydroxylase 1"	"Q32P28"	2.07343925074106	0.028813424	"PE"
"GLIPR1"	"Glioma pathogenesis-related protein 1"	"P48060"	2.070593971316	0.023303652	"PE"
"H2AFV"	"Histone H2A.V"	"Q71UI9"	2.06811123213405	0.015342278	"PE"
"USP5"	"Ubiquitin carboxyl-terminal hydrolase 5"	"P45974"	2.06519732798205	0.039504819	"PE"
"MARK2"	"Serine/threonine-protein kinase MARK2"	"Q7KZI7"	2.06511848798853	0.044670645	"PE"
"GNB2L1"	"Guanine nucleotide-binding protein subunit beta-2-like 1"	"P63244"	2.06193546375937	0.033456624	"PE"
"ITFG1"	"T-cell immunomodulatory protein"	"Q8TB96"	2.0614411233936	0.016478328	"DM"
"UBR4"	"E3 ubiquitin-protein ligase UBR4"	"Q5T4S7"	2.05286144935884	0.046376202	"PE"
"ATL2"	"Atlastin-2"	"Q8NHH9"	2.05194838224009	0.019752545	"PE"
"G6PD"	"Glucose-6-phosphate 1-dehydrogenase"	"P11413"	2.04372603175288	0.018579111	"PE"
"COG5"	"Conserved oligomeric Golgi complex subunit 5"	"Q9UP83"	2.04324179046408	0.045436218	"PE"
"SPNS1"	"Protein spinster homolog 1"	"Q9H2V7"	2.03991170944387	0.0029736126	"PE"
"MPRIP"	"Myosin phosphatase Rho-interacting protein"	"Q6WCQ1"	2.03975084381632	0.039921191	"PE"
"EIF5B"	"Eukaryotic translation initiation factor 5B"	"O60841"	2.03755932431825	0.01567434	"PE"
"HMOX2"	"Heme oxygenase 2"	"P30519"	2.03342230894181	0.017719198	"PE"
"NOTCH2"	"Neurogenic locus notch homolog protein 2"	"Q04721"	2.03323341769016	0.047408484	"PE"
"PLBD2"	"Putative phospholipase B-like 2"	"Q8NHP8"	2.03007717180939	0.017781306	"PE"
"OTUB1"	"Ubiquitin thioesterase OTUB1"	"Q96FW1"	2.02867494763693	0.04981057	"PE"
"OCIAD1"	"OCIA domain-containing protein 1"	"Q9NX40"	2.02853635364656	0.04333533	"DM"
"DDRGK1"	"DDRGK domain-containing protein 1"	"Q96HY6"	2.02270228084235	0.013101718	"PE"
"RPS4X"	"40S ribosomal protein S4, X isoform"	"P62701"	2.02091655163167	0.0007649475	"PE"
"DYNC1I2"	"Cytoplasmic dynein 1 intermediate chain 2"	"Q13409"	2.0140876420816	0.029375508	"PE"
"NCLN"	"Nicalin"	"Q969V3"	2.00809479867997	0.020947739	"PE"
"POLR1E"	"DNA-directed RNA polymerase I subunit RPA49"	"Q9GZS1"	2.00803585094319	0.0020980402	"PE"
"NSFL1C"	"NSFL1 cofactor p47"	"Q9UNZ2"	2.00785112939925	0.010525379	"PE"
"RPL24"	"60S ribosomal protein L24"	"P83731"	2.00403601912656	0.00011094844	"PE"
"ATAD3B"	"ATPase family AAA domain-containing protein 3B"	"Q5T9A4"	2.00209720823561	0.035035297	"PE"
