so_SHORTNAME	so_NAME	so_PID	so_ratioWave	so_allTWave	int	dm_int	pe_int	intensity
ACLY	ATP-citrate synthase	P53396	2.8583070809117	0.016559996	PE	NA	36741.0494825958	36741.0494825958
YBX1	Nuclease-sensitive element-binding protein 1	P67809	2.83769375130893	0.017286563	DM	NA	55699.6632332701	55699.6632332701
CCT8	T-complex protein 1 subunit theta	P50990	2.80685185744753	0.015275716	PE	NA	47454.6557085322	47454.6557085322
NSUN2	tRNA (cytosine(34)-C(5))-methyltransferase	Q08J23	2.8025027965078	0.017294368	PE	NA	34241.3709191458	34241.3709191458
PSMD11	26S proteasome non-ATPase regulatory subunit 11	O00231	2.79941422369838	0.010603269	PE	NA	44597.052346881	44597.052346881
MAT2A	S-adenosylmethionine synthase isoform type-2	P31153	2.78692369380073	0.028917095	DM|PE	NA	32914.5614439044	32914.5614439044
CD3EAP	DNA-directed RNA polymerase I subunit RPA34	O15446	2.7692953738388	0.036119048	PE	NA	54518.5194357841	54518.5194357841
RAB34	Ras-related protein Rab-34	Q9BZG1	2.768931916222	0.0070680832	DM|PE	NA	41791.1398686664	41791.1398686664
RFC1	Replication factor C subunit 1	P35251	2.7667436637164	0.028231014	PE	NA	33394.2715795765	33394.2715795765
EIF4G1	Eukaryotic translation initiation factor 4 gamma 1	Q04637	2.7598272333687	0.027159661	PE	NA	41846.7531499783	41846.7531499783
XPO1	Exportin-1	O14980	2.74833327627438	0.036855608	PE	NA	33918.7113438382	33918.7113438382
CAT	Catalase	P04040	2.74354579040058	0.017987536	PE	NA	47794.9176771114	47794.9176771114
ALDH3B1	Aldehyde dehydrogenase family 3 member B1	P43353	2.74314444863985	0.013854849	PE	NA	62100.3242609634	62100.3242609634
RALA	Ras-related protein Ral-A	P11233	2.74156187443725	0.0039521684	DM|PE	NA	42224.2158881387	42224.2158881387
CYSRT1	Cysteine-rich tail protein 1	A8MQ03	2.74059578774027	0.030018618	PE	NA	55870.6630614781	55870.6630614781
DNAJA1	DnaJ homolog subfamily A member 1	P31689	2.74057278165676	0.04519707	PE	NA	45959.197331461	45959.197331461
RPL8	60S ribosomal protein L8	P62917	2.73558101981387	0.0036591268	DM	NA	47778.1976028556	47778.1976028556
C1QBP	Complement component 1 Q subcomponent-binding protein, mitochondrial	Q07021	2.7310628620375	0.024894034	PE	NA	39507.5136737924	39507.5136737924
MPP6	MAGUK p55 subfamily member 6	Q9NZW5	2.72932827305042	0.029599499	PE	NA	36133.1532190294	36133.1532190294
SYAP1	Synapse-associated protein 1	Q96A49	2.72929356742389	0.0031261747	PE	NA	36614.8584027849	36614.8584027849
CORO1C	Coronin-1C	Q9ULV4	2.71114045970306	0.025903888	PE	NA	45784.8807591046	45784.8807591046
UCK2	Uridine-cytidine kinase 2	Q9BZX2	2.70829482014677	0.0062056459	PE	NA	41944.2777658128	41944.2777658128
DBN1	Drebrin	Q16643	2.70282913859783	0.03447701	PE	NA	46516.5302284567	46516.5302284567
CCT5	T-complex protein 1 subunit epsilon	P48643	2.70243521719243	0.022312626	PE	NA	38837.9552741205	38837.9552741205
MCM4	DNA replication licensing factor MCM4	P33991	2.70215917931316	0.044624384	PE	NA	42068.3679120774	42068.3679120774
ATP6V1A	V-type proton ATPase catalytic subunit A	P38606	2.69880862591605	0.019557791	PE	NA	42106.3042808318	42106.3042808318
CSPG4	Chondroitin sulfate proteoglycan 4	Q6UVK1	2.69664255362196	0.0017285228	PE	NA	39896.333561598	39896.333561598
NPTN	Neuroplastin	Q9Y639	2.69606413292925	0.007941585	PE	NA	88325.2054305203	88325.2054305203
MAP1B	Microtubule-associated protein 1B	P46821	2.6915511387946	0.015610944	PE	NA	54518.2783215817	54518.2783215817
EPRS	Bifunctional glutamate/proline--tRNA ligase	P07814	2.69099601049966	0.023842968	PE	NA	38890.023311971	38890.023311971
KPNA3	Importin subunit alpha-4	O00505	2.68757868531879	0.0064386711	PE	NA	50611.1930502521	50611.1930502521
PSMC3	26S protease regulatory subunit 6A	P17980	2.67684129312444	0.0065688267	PE	NA	44365.8484911266	44365.8484911266
CMBL	Carboxymethylenebutenolidase homolog	Q96DG6	2.67592758738784	0.048160315	DM	NA	42425.2452069376	42425.2452069376
MTCH2	Mitochondrial carrier homolog 2	Q9Y6C9	2.67248245349989	0.020300224	PE	NA	33518.8972286632	33518.8972286632
PDS5A	Sister chromatid cohesion protein PDS5 homolog A	Q29RF7	2.67150664193868	0.0095553035	PE	NA	37154.9340718919	37154.9340718919
TUBB4B	Tubulin beta-4B chain	P68371	2.67066234853125	1.9620876e-08	PE	NA	31542.3037071745	31542.3037071745
APMAP	Adipocyte plasma membrane-associated protein	Q9HDC9	2.66494210242206	0.0033232716	PE	NA	56359.1459983257	56359.1459983257
PDXDC1	Pyridoxal-dependent decarboxylase domain-containing protein 1	Q6P996	2.64650023040212	0.030617457	PE	NA	43708.8633613815	43708.8633613815
CASK	Peripheral plasma membrane protein CASK	O14936	2.63114928303285	0.0096051861	PE	NA	42950.6156712611	42950.6156712611
PLXNB2	Plexin-B2	O15031	2.63075960182596	0.023890767	PE	NA	40719.7694348259	40719.7694348259
POR	NADPH--cytochrome P450 reductase	P16435	2.61840654148555	0.0078493226	PE	NA	37172.8884299284	37172.8884299284
EEF1A1P5	Putative elongation factor 1-alpha-like 3	Q5VTE0	2.61016124406734	0.00062623265	PE	NA	37817.1680732803	37817.1680732803
UBA1	Ubiquitin-like modifier-activating enzyme 1	P22314	2.60844597848342	0.036747579	DM|PE	NA	42559.0437595522	42559.0437595522
GCLM	Glutamate--cysteine ligase regulatory subunit	P48507	2.60830244722264	0.0069072079	PE	NA	44711.4565876662	44711.4565876662
PDCD6IP	Programmed cell death 6-interacting protein	Q8WUM4	2.6066502101692	0.0046790382	PE	NA	23718.2770614733	23718.2770614733
SDC4	Syndecan-4	P31431	2.60535964810775	0.011883763	PE	NA	46238.0125480994	46238.0125480994
ITGA1	Integrin alpha-1	P56199	2.57565593678038	0.0080760876	PE	NA	40805.9439146307	40805.9439146307
FLOT1	Flotillin-1	O75955	2.57375507004516	0.018473189	PE	NA	33629.0470926334	33629.0470926334
PARP1	Poly [ADP-ribose] polymerase 1	P09874	2.57232705613341	0.0046187774	PE	NA	21952.5535610186	21952.5535610186
SMC1A	Structural maintenance of chromosomes protein 1A	Q14683	2.5701255825035	0.026979281	PE	NA	47699.1465459548	47699.1465459548
CLASP2	CLIP-associating protein 2	O75122	2.5661585570878	0.02937091	PE	NA	37744.6817960091	37744.6817960091
SLC12A2	Solute carrier family 12 member 2	P55011	2.5638326709254	0.022247424	PE	NA	41051.5039699232	41051.5039699232
HSDL2	Hydroxysteroid dehydrogenase-like protein 2	Q6YN16	2.56110665210964	0.0092596924	PE	NA	38907.2756629452	38907.2756629452
FARSA	Phenylalanine--tRNA ligase alpha subunit	Q9Y285	2.56050111880778	0.028574821	PE	NA	52817.5428399602	52817.5428399602
RUVBL2	RuvB-like 2	Q9Y230	2.55276995047864	0.03582998	DM	NA	37069.952449315	37069.952449315
DLG1	Disks large homolog 1	Q12959	2.5512149694043	0.047303677	PE	NA	40832.1502962233	40832.1502962233
KARS	Lysine--tRNA ligase	Q15046	2.55094597179998	0.013617963	PE	NA	43396.5676354956	43396.5676354956
MAP4	Microtubule-associated protein 4	P27816	2.54956165150037	0.012665649	PE	NA	299917.927052586	299917.927052586
HSPB1	Heat shock protein beta-1	P04792	2.54825348490645	7.951418e-08	PE	NA	32474.522080318	32474.522080318
HMOX1	Heme oxygenase 1	P09601	2.54700596724833	0.014049929	PE	NA	33003.2474459984	33003.2474459984
ASNA1	ATPase ASNA1	O43681	2.54079585445871	0.010562572	PE	NA	36138.1713791467	36138.1713791467
IGF2R	Cation-independent mannose-6-phosphate receptor	P11717	2.53643708625689	0.0046448167	DM	NA	43410.6476037589	43410.6476037589
SSR3	Translocon-associated protein subunit gamma	Q9UNL2	2.52582185326827	0.0036459295	PE	NA	40801.9133666346	40801.9133666346
RHOG	Rho-related GTP-binding protein RhoG	P84095	2.51927554816082	0.009545072	PE	NA	38167.7049057039	38167.7049057039
ERBB2IP	Protein LAP2	Q96RT1	2.51872609078747	0.030307736	PE	NA	668233.458512261	668233.458512261
CYC1	Cytochrome c1, heme protein, mitochondrial	P08574	2.5116899291525	0.0050437655	PE	NA	61051.5635923477	61051.5635923477
NPR3	Atrial natriuretic peptide receptor 3	P17342	2.50505767585905	0.048047859	PE	NA	48838.6614909671	48838.6614909671
TTLL12	Tubulin--tyrosine ligase-like protein 12	Q14166	2.49834621582334	0.027524125	PE	NA	36296.9872030883	36296.9872030883
PIGS	GPI transamidase component PIG-S	Q96S52	2.48902963351314	0.00087543856	PE	NA	44163.505468396	44163.505468396
HIST2H3A	Histone H3.3	P84243	2.48653965648432	0.020549225	PE	NA	37945.6741133403	37945.6741133403
ANXA11	Annexin A11	P50995	2.48512601026801	0.01253001	PE	NA	31897.7093122758	31897.7093122758
TMEM165	Transmembrane protein 165	Q9HC07	2.48376409704305	0.002607207	PE	NA	33291.8205323645	33291.8205323645
PTK7	Inactive tyrosine-protein kinase 7	Q13308	2.48060749995922	0.011482143	PE	NA	30263.8268806677	30263.8268806677
RPL4	60S ribosomal protein L4	P36578	2.46628125870475	0.012560399	DM	NA	36207.4542141472	36207.4542141472
SLC38A1	Sodium-coupled neutral amino acid transporter 1	Q9H2H9	2.45860098878052	0.033282131	PE	NA	29138.109477564	29138.109477564
PRDX2	Peroxiredoxin-2	P32119	2.4530266508793	0.019583205	PE	NA	34134.4370234242	34134.4370234242
MCM6	DNA replication licensing factor MCM6	Q14566	2.45248782866879	0.0056803855	PE	NA	38915.8343452307	38915.8343452307
NOP58	Nucleolar protein 58	Q9Y2X3	2.45110163996291	0.0072209472	PE	NA	28288.8093349543	28288.8093349543
IPO7	Importin-7	O95373	2.44305559577098	0.010256258	PE	NA	30731.9890243587	30731.9890243587
SAR1A	GTP-binding protein SAR1a	Q9NR31	2.43684630829085	0.047043983	PE	NA	35632.7621152984	35632.7621152984
RCN1	Reticulocalbin-1	Q15293	2.43451699511415	0.0079693506	PE	NA	31152.8385127972	31152.8385127972
UNC45A	Protein unc-45 homolog A	Q9H3U1	2.42408189108971	0.022423184	PE	NA	46190.7341138811	46190.7341138811
NEGR1	Neuronal growth regulator 1	Q7Z3B1	2.42285142991332	0.044716515	PE	NA	48212.9780512823	48212.9780512823
NQO1	NAD(P)H dehydrogenase [quinone] 1	P15559	2.41973385113361	0.042806413	PE	NA	27550.0511535417	27550.0511535417
PODXL	Podocalyxin	O00592	2.41091369910453	0.041826259	PE	NA	45632.1949316151	45632.1949316151
PTGFRN	Prostaglandin F2 receptor negative regulator	Q9P2B2	2.40725397705454	0.040722892	PE	NA	40587.7721754256	40587.7721754256
ERLIN1	Erlin-1	O75477	2.40640425246476	0.020584507	PE	NA	1665172.53656835	1665172.53656835
CXCR4	C-X-C chemokine receptor type 4	P61073	2.39723316628713	0.016417986	PE	NA	43192.7511260384	43192.7511260384
CKAP5	Cytoskeleton-associated protein 5	Q14008	2.38629018054279	0.016704628	PE	NA	45790.8681705321	45790.8681705321
THY1	Thy-1 membrane glycoprotein	P04216	2.37949507721074	0.011575229	PE	NA	40907.9512664565	40907.9512664565
DEK	Protein DEK	P35659	2.37736269904816	0.047677357	DM	NA	37710.2196497531	37710.2196497531
CSTA	Cystatin-A	P01040	2.36968044382564	0.010811906	DM	NA	486228.945355643	486228.945355643
EEF1B2	Elongation factor 1-beta	P24534	2.36202101869505	0.035423707	PE	NA	36427.6393798061	36427.6393798061
EIF2B4	Translation initiation factor eIF-2B subunit delta	Q9UI10	2.35820965253992	0.021129703	PE	NA	NA	NA
COPB1	Coatomer subunit beta	P53618	2.35142726093135	0.047693528	PE	NA	NA	NA
ACACA	Acetyl-CoA carboxylase 1	Q13085	2.34917309613385	0.019161124	DM	NA	NA	NA
DDX47	Probable ATP-dependent RNA helicase DDX47	Q9H0S4	2.34234428086017	0.010957437	PE	NA	NA	NA
FLOT2	Flotillin-2	Q14254	2.3384522299191	0.025889052	PE	NA	NA	NA
DNM2	Dynamin-2	P50570	2.33550079223367	0.047402576	PE	NA	NA	NA
SLC30A1	Zinc transporter 1	Q9Y6M5	2.33290243114436	0.046777431	PE	NA	NA	NA
S100A9	Protein S100-A9	P06702	2.32435796552442	0.038694881	DM	NA	NA	NA
PSMA5	Proteasome subunit alpha type-5	P28066	2.31703619301938	0.01114425	PE	NA	NA	NA
EHD4	EH domain-containing protein 4	Q9H223	2.30506564733293	0.039944764	PE	NA	NA	NA
CPNE8	Copine-8	Q86YQ8	2.29612148078207	0.03695016	PE	NA	NA	NA
MYADM	Myeloid-associated differentiation marker	Q96S97	2.2899510640055	0.015716966	DM|PE	NA	NA	NA
YARS	Tyrosine--tRNA ligase, cytoplasmic	P54577	2.27277955007796	0.047026251	PE	NA	NA	NA
STIP1	Stress-induced-phosphoprotein 1	P31948	2.25279466707899	0.017201088	PE	NA	NA	NA
DDX21	Nucleolar RNA helicase 2	Q9NR30	2.25268751118923	0.032150716	PE	NA	NA	NA
SLC4A7	Sodium bicarbonate cotransporter 3	Q9Y6M7	2.25111606440864	0.0010339048	PE	NA	NA	NA
PSMD6	26S proteasome non-ATPase regulatory subunit 6	Q15008	2.24554881774678	0.031691436	PE	NA	NA	NA
QARS	Glutamine--tRNA ligase	P47897	2.24441411459794	0.012733054	PE	NA	NA	NA
SUPT16H	FACT complex subunit SPT16	Q9Y5B9	2.23975000340631	0.034038488	PE	NA	NA	NA
UNC13D	Protein unc-13 homolog D	Q70J99	2.2397371821491	0.010290312	PE	NA	NA	NA
NOB1	RNA-binding protein NOB1	Q9ULX3	2.23901745566882	0.018089443	PE	NA	NA	NA
CAV1	Caveolin-1	Q03135	2.23861957677768	0.024992827	PE	NA	NA	NA
GNA13	Guanine nucleotide-binding protein subunit alpha-13	Q14344	2.23838330908282	0.032236423	PE	NA	NA	NA
ITGA6	Integrin alpha-6	P23229	2.23531179102832	0.027736656	PE	NA	NA	NA
DNAJB11	DnaJ homolog subfamily B member 11	Q9UBS4	2.22106253070012	0.0079559619	PE	NA	NA	NA
MYO1E	Unconventional myosin-Ie	Q12965	2.21981754343784	0.023018548	PE|RE	NA	NA	NA
UBA5	Ubiquitin-like modifier-activating enzyme 5	Q9GZZ9	2.21647671885522	0.010280645	PE	NA	NA	NA
TCF25	Transcription factor 25	Q9BQ70	2.21540631921529	0.021988729	PE	NA	NA	NA
HMX3	Homeobox protein HMX3	A6NHT5	2.20890004194739	0.016407976	PE	NA	NA	NA
SCARB1	Scavenger receptor class B member 1	Q8WTV0	2.20857044004514	0.0020927151	PE	NA	NA	NA
KPRP	Keratinocyte proline-rich protein	Q5T749	2.2027502742075	0.04167584	DM	NA	NA	NA
RRP1	Ribosomal RNA processing protein 1 homolog A	P56182	2.20104588821554	0.012003683	PE	NA	NA	NA
PCMT1	Protein-L-isoaspartate(D-aspartate) O-methyltransferase	P22061	2.20025891168119	0.047587197	PE	NA	NA	NA
FYCO1	FYVE and coiled-coil domain-containing protein 1	Q9BQS8	2.18009910282716	0.026808664	PE	NA	NA	NA
AQP1	Aquaporin-1	P29972	2.17724632494474	0.039601173	PE	NA	NA	NA
ACTR2	Actin-related protein 2	P61160	2.14964372879213	0.013367058	PE	NA	NA	NA
MAPRE1	Microtubule-associated protein RP/EB family member 1	Q15691	2.14620035401303	0.011662995	PE	NA	NA	NA
PRKAR2A	cAMP-dependent protein kinase type II-alpha regulatory subunit	P13861	2.14559954363465	0.032578912	PE	NA	NA	NA
EFR3A	Protein EFR3 homolog A	Q14156	2.1383266156815	0.0025231941	PE	NA	NA	NA
RAB21	Ras-related protein Rab-21	Q9UL25	2.13827619610476	0.023489034	DM|PE	NA	NA	NA
TMX3	Protein disulfide-isomerase TMX3	Q96JJ7	2.13584138622541	0.015266146	PE	NA	NA	NA
GATAD2A	Transcriptional repressor p66-alpha	Q86YP4	2.1351784075334	0.034175601	PE	NA	NA	NA
PSME3	Proteasome activator complex subunit 3	P61289	2.13411423427723	0.010045497	DM|PE	NA	NA	NA
FASN	Fatty acid synthase	P49327	2.12981591507696	0.016578915	DM	NA	NA	NA
SIRPA	Tyrosine-protein phosphatase non-receptor type substrate 1	P78324	2.12805019518944	0.0067549166	PE	NA	NA	NA
HINT1	Histidine triad nucleotide-binding protein 1	P49773	2.12378467736445	0.01232502	PE	NA	NA	NA
ST13	Hsc70-interacting protein	P50502	2.1125697537747	0.006382525	PE	NA	NA	NA
RHOB	Rho-related GTP-binding protein RhoB	P62745	2.10586282286147	0.024963981	PE	NA	NA	NA
UGGT1	UDP-glucose:glycoprotein glucosyltransferase 1	Q9NYU2	2.10159026503524	0.015458467	PE	NA	NA	NA
GNB4	Guanine nucleotide-binding protein subunit beta-4	Q9HAV0	2.10001920207952	0.0052149636	PE	NA	NA	NA
HIST1H4A	Histone H4	P62805	2.09509283342665	0.001485268	PE	NA	NA	NA
UGDH	UDP-glucose 6-dehydrogenase	O60701	2.08793693367632	0.032539766	PE	NA	NA	NA
ECH1	Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial	Q13011	2.08782363125951	0.040433094	PE	NA	NA	NA
WARS	Tryptophan--tRNA ligase, cytoplasmic	P23381	2.0856880468772	0.04203004	PE	NA	NA	NA
LEPRE1	Prolyl 3-hydroxylase 1	Q32P28	2.07343925074106	0.028813424	PE	NA	NA	NA
GLIPR1	Glioma pathogenesis-related protein 1	P48060	2.070593971316	0.023303652	PE	NA	NA	NA
H2AFV	Histone H2A.V	Q71UI9	2.06811123213405	0.015342278	PE	NA	NA	NA
USP5	Ubiquitin carboxyl-terminal hydrolase 5	P45974	2.06519732798205	0.039504819	PE	NA	NA	NA
MARK2	Serine/threonine-protein kinase MARK2	Q7KZI7	2.06511848798853	0.044670645	PE	NA	NA	NA
GNB2L1	Guanine nucleotide-binding protein subunit beta-2-like 1	P63244	2.06193546375937	0.033456624	PE	NA	NA	NA
ITFG1	T-cell immunomodulatory protein	Q8TB96	2.0614411233936	0.016478328	DM	NA	NA	NA
UBR4	E3 ubiquitin-protein ligase UBR4	Q5T4S7	2.05286144935884	0.046376202	PE	NA	NA	NA
ATL2	Atlastin-2	Q8NHH9	2.05194838224009	0.019752545	PE	NA	NA	NA
G6PD	Glucose-6-phosphate 1-dehydrogenase	P11413	2.04372603175288	0.018579111	PE	NA	NA	NA
COG5	Conserved oligomeric Golgi complex subunit 5	Q9UP83	2.04324179046408	0.045436218	PE	NA	NA	NA
SPNS1	Protein spinster homolog 1	Q9H2V7	2.03991170944387	0.0029736126	PE	NA	NA	NA
MPRIP	Myosin phosphatase Rho-interacting protein	Q6WCQ1	2.03975084381632	0.039921191	PE	NA	NA	NA
EIF5B	Eukaryotic translation initiation factor 5B	O60841	2.03755932431825	0.01567434	PE	NA	NA	NA
HMOX2	Heme oxygenase 2	P30519	2.03342230894181	0.017719198	PE	NA	NA	NA
NOTCH2	Neurogenic locus notch homolog protein 2	Q04721	2.03323341769016	0.047408484	PE	NA	NA	NA
PLBD2	Putative phospholipase B-like 2	Q8NHP8	2.03007717180939	0.017781306	PE	NA	NA	NA
OTUB1	Ubiquitin thioesterase OTUB1	Q96FW1	2.02867494763693	0.04981057	PE	NA	NA	NA
OCIAD1	OCIA domain-containing protein 1	Q9NX40	2.02853635364656	0.04333533	DM	NA	NA	NA
DDRGK1	DDRGK domain-containing protein 1	Q96HY6	2.02270228084235	0.013101718	PE	NA	NA	NA
RPS4X	40S ribosomal protein S4, X isoform	P62701	2.02091655163167	0.0007649475	PE	NA	NA	NA
DYNC1I2	Cytoplasmic dynein 1 intermediate chain 2	Q13409	2.0140876420816	0.029375508	PE	NA	NA	NA
NCLN	Nicalin	Q969V3	2.00809479867997	0.020947739	PE	NA	NA	NA
POLR1E	DNA-directed RNA polymerase I subunit RPA49	Q9GZS1	2.00803585094319	0.0020980402	PE	NA	NA	NA
NSFL1C	NSFL1 cofactor p47	Q9UNZ2	2.00785112939925	0.010525379	PE	NA	NA	NA
RPL24	60S ribosomal protein L24	P83731	2.00403601912656	0.00011094844	PE	NA	NA	NA
ATAD3B	ATPase family AAA domain-containing protein 3B	Q5T9A4	2.00209720823561	0.035035297	PE	NA	NA	NA
